INDICATOR,Date,Value
Prime Lending Rate Of Commercial Banks,2013-10-01,17.1
Savings Rate,2013-11-01,2.53
Prime Lending Rate Of Commercial Banks,2013-11-01,17.17
Savings Rate,2013-12-01,2.53
Prime Lending Rate Of Commercial Banks,2013-12-01,17.01
Savings Rate,2014-01-01,3.27
Prime Lending Rate Of Commercial Banks,2014-01-01,16.95
Savings Rate,2014-02-01,3.26
Prime Lending Rate Of Commercial Banks,2014-02-01,16.93
Savings Rate,2014-03-01,3.38
Prime Lending Rate Of Commercial Banks,2014-03-01,16.69
Savings Rate,2014-04-01,3.42
Prime Lending Rate Of Commercial Banks,2014-04-01,16.7
Savings Rate,2014-05-01,3.41
Prime Lending Rate Of Commercial Banks,2014-05-01,16.5
Savings Rate,2014-06-01,3.42
Prime Lending Rate Of Commercial Banks,2014-06-01,16.5
Savings Rate,2014-07-01,3.41
Prime Lending Rate Of Commercial Banks,2014-07-01,16.44
Savings Rate,2014-08-01,3.24
Prime Lending Rate Of Commercial Banks,2014-08-01,16.6
Savings Rate,2014-09-01,3.43
Prime Lending Rate Of Commercial Banks,2014-09-01,16.44
Savings Rate,2014-10-01,3.43
Prime Lending Rate Of Commercial Banks,2014-10-01,16.48
Savings Rate,2014-11-01,3.43
Prime Lending Rate Of Commercial Banks,2014-11-01,16.47
Savings Rate,2014-12-01,3.46
Prime Lending Rate Of Commercial Banks,2014-12-01,15.88
Savings Rate,2015-01-01,3.48
Prime Lending Rate Of Commercial Banks,2015-01-01,16.86
Savings Rate,2015-02-01,3.47
Prime Lending Rate Of Commercial Banks,2015-02-01,16.77
Savings Rate,2015-03-01,3.76
Prime Lending Rate Of Commercial Banks,2015-03-01,16.9
Savings Rate,2015-04-01,3.6
Prime Lending Rate Of Commercial Banks,2015-04-01,15.95
Savings Rate,2015-05-01,3.6
Prime Lending Rate Of Commercial Banks,2015-05-01,16.08
Savings Rate,2015-06-01,3.6
Prime Lending Rate Of Commercial Banks,2015-06-01,17.24
Savings Rate,2015-07-01,3.63
Prime Lending Rate Of Commercial Banks,2015-07-01,17.3
Savings Rate,2015-08-01,3.63
Prime Lending Rate Of Commercial Banks,2015-08-01,17.29
Savings Rate,2015-09-01,3.72
Prime Lending Rate Of Commercial Banks,2015-09-01,17.02
Savings Rate,2015-10-01,3.71
Prime Lending Rate Of Commercial Banks,2015-10-01,16.84
Savings Rate,2015-11-01,3.47
Prime Lending Rate Of Commercial Banks,2015-11-01,16.98
Savings Rate,2015-12-01,3.33
Prime Lending Rate Of Commercial Banks,2015-12-01,16.96
Savings Rate,2016-01-01,3.29
Prime Lending Rate Of Commercial Banks,2016-01-01,16.54
Savings Rate,2016-02-01,3.29
Prime Lending Rate Of Commercial Banks,2016-02-01,16.72
Savings Rate,2016-03-01,3.26
Prime Lending Rate Of Commercial Banks,2016-03-01,16.82
Savings Rate,2016-04-01,3.54
Prime Lending Rate Of Commercial Banks,2016-04-01,16.77
Savings Rate,2016-05-01,3.57
Prime Lending Rate Of Commercial Banks,2016-05-01,16.13
Savings Rate,2016-06-01,3.61
